product_type,print_provider_id,blueprint_id,source_product_title,print_provider_name,print_provider_country,product_cost,standard_shipping_first_item,standard_shipping_additional_items,handling_time_days,shipping_to_country,variants,total_customer_cost,score_normalized
bumper sticker,73,598,Bumper Stickers,Printed Simply,US,4.22,5.09,0.07,2-5 days,US,"71929: 7.5"" × 3.75"" / Rectangle / White",9.309999999999999,10.0
hoodie,3,439,Three-Panel Fleece Hoodie,Marco Fine Arts,US,24.72,8.49,2.09,2-5 days,US,"62259: Black / S, 62260: Black / M, 62261: Black / L, 62262: Black / XL, 62265: Heather Grey / S, 62266: Navy / S, 62270: Heather Grey / M, 62271: Navy / M, 62275: Heather Grey / L, 62276: Navy / L, 62280: Heather Grey / XL, 62281: Navy / XL, 68051: White / S, 68052: White / M, 68053: White / L, 68054: White / XL",33.21,7.06
hoodie,39,536,Unisex EcoSmart® Pullover Hoodie Sweatshirt,SwiftPOD,US,21.8,8.49,2.09,2-5 days,US,"69032: Black / S, 69033: Charcoal Heather / S, 69034: Black / M, 69035: Charcoal Heather / M, 69036: Black / L, 69037: Charcoal Heather / L, 69038: Black / XL, 69039: Charcoal Heather / XL, 69042: Light Steel / S, 69043: Light Steel / M, 69044: Light Steel / L, 69045: Light Steel / XL, 73243: Deep Forest / S, 73245: Deep Royal / S, 73248: Navy / S, 73249: Orange / S, 73252: Smoke Grey / S, 73253: White / S, 73254: Deep Forest / M, 73255: Deep Red / M, 73256: Deep Royal / M, 73259: Navy / M, 73260: Orange / M, 73262: Purple / M, 73263: Smoke Grey / M, 73264: White / M, 73265: Deep Forest / L, 73266: Deep Red / L, 73267: Deep Royal / L, 73270: Navy / L, 73273: Purple / L, 73274: Smoke Grey / L, 73275: White / L, 73276: Deep Forest / XL, 73278: Deep Royal / XL, 73279: Light Blue / XL, 73281: Navy / XL, 73284: Purple / XL, 73285: Smoke Grey / XL, 73286: White / XL, 111551: Ash / S, 111552: Athletic Cardinal / S, 111553: Athletic Crimson / S, 111554: Athletic Dark Green / S, 111555: Athletic Gold / S, 111556: Athletic Navy / S, 111557: Athletic Purple / S, 111558: Athletic Red / S, 111559: Athletic Royal / S, 111560: Athletic Teal / S, 111561: Athletic Yellow / S, 111562: Carolina Blue / S, 111563: Denim Blue / S, 111564: Fatigue Green / S, 111566: Heather Navy / S, 111567: Heather Red / S, 111568: Kelly Green / S, 111569: Lime / S, 111570: Safety Green / S, 111571: Safety Orange / S, 111572: Safety Pink / S, 111573: Sand / S, 111574: Teal / S, 111575: Tennessee Orange / S, 111576: Texas Orange / S, 111577: Wow Pink / S, 111578: Yellow / S, 111579: Army Brown / M, 111580: Ash / M, 111581: Athletic Cardinal / M, 111582: Athletic Crimson / M, 111583: Athletic Dark Green / M, 111584: Athletic Gold / M, 111586: Athletic Purple / M, 111588: Athletic Royal / M, 111590: Athletic Yellow / M, 111592: Denim Blue / M, 111593: Fatigue Green / M, 111596: Heather Red / M, 111597: Kelly Green / M, 111598: Lime / M, 111599: Safety Green / M, 111600: Safety Orange / M, 111601: Safety Pink / M, 111602: Sand / M, 111603: Teal / M, 111605: Texas Orange / M, 111606: Wow Pink / M, 111607: Yellow / M, 111609: Ash / L, 111610: Athletic Cardinal / L, 111611: Athletic Crimson / L, 111612: Athletic Dark Green / L, 111613: Athletic Gold / L, 111615: Athletic Purple / L, 111616: Athletic Red / L, 111617: Athletic Royal / L, 111619: Athletic Yellow / L, 111620: Carolina Blue / L, 111621: Denim Blue / L, 111622: Fatigue Green / L, 111624: Heather Navy / L, 111625: Heather Red / L, 111626: Kelly Green / L, 111628: Safety Green / L, 111629: Safety Orange / L, 111630: Safety Pink / L, 111631: Sand / L, 111632: Teal / L, 111635: Wow Pink / L, 111636: Yellow / L, 111637: Army Brown / XL, 111638: Ash / XL, 111639: Athletic Cardinal / XL, 111640: Athletic Crimson / XL, 111641: Athletic Dark Green / XL, 111642: Athletic Gold / XL, 111643: Athletic Navy / XL, 111644: Athletic Purple / XL, 111645: Athletic Red / XL, 111646: Athletic Royal / XL, 111647: Athletic Teal / XL, 111648: Athletic Yellow / XL, 111649: Carolina Blue / XL, 111650: Denim Blue / XL, 111651: Fatigue Green / XL, 111653: Heather Navy / XL, 111654: Heather Red / XL, 111656: Lime / XL, 111657: Safety Green / XL, 111658: Safety Orange / XL, 111659: Safety Pink / XL, 111660: Sand / XL, 111661: Teal / XL, 111664: Wow Pink / XL, 111665: Yellow / XL",30.29,8.55
hoodie,61,1673,Youth Heavy Blend Zipped Hoodie,Dimona Tee,US,26.58,4.75,2.4,2-5 days,US,"115231: XS / Navy, 115232: S / Navy, 115233: M / Navy, 115234: L / Navy, 115235: XL / Navy, 115236: XS / Red, 115237: S / Red, 115238: M / Red, 115239: L / Red, 115240: XL / Red, 115246: XS / Sport Grey, 115247: S / Sport Grey, 115248: M / Sport Grey, 115249: L / Sport Grey, 115250: XL / Sport Grey, 115251: XS / Black, 115252: S / Black, 115253: M / Black, 115254: L / Black, 115255: XL / Black",31.33,8.02
hoodie,99,1525,Unisex Midweight Softstyle Fleece Hoodie,Printify Choice,US,23.53,8.49,2.09,2-5 days,US,"109434: XL / Red, 109438: XL / Sky, 109401: L / Cocoa, 109425: XL / Paragon, 109414: L / White, 109419: L / Black, 109440: XL / Tangerine, 109436: XL / Sand, 109394: M / Tangerine, 109409: L / Pistachio, 109546: XL / Mustard, 109395: M / Yellow Haze, 109442: XL / Black, 109376: S / Military Green, 109443: XL / Forest Green, 109444: XL / Light Pink, 109391: M / White, 109415: L / Sky, 109383: M / Dark Heather, 109433: XL / Purple, 109435: XL / Royal, 109380: M / Pink Lemonade, 109429: XL / Dark Heather, 109541: M / Cement, 109390: M / Sand, 109439: XL / Sport Grey, 109539: S / Cement, 109543: L / Cement, 109377: S / Stone Blue, 109363: S / Pistachio, 109364: S / Purple, 109387: M / Purple, 109431: XL / Navy, 109420: L / Forest Green, 109366: S / Royal, 109384: M / Maroon, 109406: L / Dark Heather, 109361: S / Maroon, 109381: M / Charcoal, 109360: S / Dark Heather, 109445: XL / Military Green, 109427: XL / Charcoal, 109441: XL / Yellow Haze, 109428: XL / Daisy, 109404: L / Charcoal, 109418: L / Yellow Haze, 109432: XL / Pistachio, 109421: L / Light Pink, 109374: S / Forest Green, 109370: S / Sport Grey, 109398: M / Light Pink, 109389: M / Royal, 109542: M / Mustard, 109417: L / Tangerine, 109540: S / Mustard, 109386: M / Pistachio, 109385: M / Navy, 109403: L / Pink Lemonade, 109410: L / Purple, 109378: M / Cocoa, 109400: M / Stone Blue, 109413: L / Sand, 109388: M / Red, 109397: M / Forest Green, 109396: M / Black, 109372: S / Yellow Haze, 109424: XL / Cocoa, 109411: L / Red, 109357: S / Pink Lemonade, 109437: XL / White, 109379: M / Paragon, 109430: XL / Maroon, 109358: S / Charcoal, 109367: S / Sand, 109368: S / White, 109545: XL / Cement, 109408: L / Navy, 109365: S / Red, 109371: S / Tangerine, 109402: L / Paragon, 109355: S / Cocoa, 109362: S / Navy, 109399: M / Military Green, 109422: L / Military Green, 109446: XL / Stone Blue, 109426: XL / Pink Lemonade, 109407: L / Maroon, 109412: L / Royal, 109416: L / Sport Grey, 109373: S / Black, 109405: L / Daisy, 109356: S / Paragon, 109393: M / Sport Grey, 109382: M / Daisy, 109423: L / Stone Blue",32.02,7.67
hoodie,217,1673,Youth Heavy Blend Zipped Hoodie,Fulfill Engine,US,22.27,5.19,2.19,2-5 days,US,"115231: XS / Navy, 115232: S / Navy, 115233: M / Navy, 115234: L / Navy, 115235: XL / Navy, 115236: XS / Red, 115237: S / Red, 115238: M / Red, 115239: L / Red, 115240: XL / Red, 115241: XS / Royal, 115242: S / Royal, 115243: M / Royal, 115244: L / Royal, 115245: XL / Royal, 115246: XS / Sport Grey, 115247: S / Sport Grey, 115248: M / Sport Grey, 115249: L / Sport Grey, 115250: XL / Sport Grey, 115251: XS / Black, 115252: S / Black, 115253: M / Black, 115254: L / Black, 115255: XL / Black",27.46,10.0
mug,1,68,Mug 11oz,SPOKE Custom Products,US,5.39,6.99,3.09,2-5 days,US,33719: 11oz,12.379999999999999,8.77
mug,28,478,"Ceramic Mug, (11oz, 15oz)",District Photo,US,4.61,6.99,3.09,2-5 days,US,65216: 11oz,11.600000000000001,10.0
mug,29,478,"Ceramic Mug, (11oz, 15oz)",Monster Digital,US,5.78,6.99,3.09,2-5 days,US,65216: 11oz,12.77,8.16
mug,59,1151,"Colorful Mugs (11oz, 15oz)",Imagine Your Photos,US,7.17,6.99,3.09,2-5 days,US,"96176: 11oz / Black, 96177: 11oz / Blue, 96178: 11oz / Cambridge Blue, 96179: 11oz / Golden Yellow, 96180: 11oz / Green, 96181: 11oz / Light Blue, 96182: 11oz / Light Green, 96183: 11oz / Maroon, 96184: 11oz / Orange, 96185: 11oz / Pink, 96186: 11oz / Red, 96187: 11oz / Yellow",14.16,5.98
